Query q1: 377,390,371,379,412,381,404,374,388,396
Query q2: 167,171,161,157,202,201,221,158,158,164
Query q3: 492,484,466,481,473,489,540,436,472,454
Query q4: 370,382,366,349,375,379,376,372,342,340
Query q5: 509,506,487,511,521,521,541,476,585,497
Query q6: 252,232,257,251,255,246,252,225,247,246
Query q7: 568,532,544,537,541,552,556,537,520,542
Query q8: 602,612,660,617,638,648,638,614,621,642
Query q9: 949,938,935,1031,993,984,964,937,976,980
Query q10: 564,488,511,526,545,524,554,505,512,529
Query q11: 140,119,123,131,147,131,123,117,122,131
Query q12: 335,311,302,306,346,306,309,309,337,331
Query q13: 393,377,357,419,392,397,431,402,377,363
Query q14: 353,330,336,347,349,352,360,337,340,327
Query q15: 619,555,571,579,605,605,608,565,574,554
Query q16: 123,121,123,121,139,142,137,135,120,117
Query q17: 523,520,513,520,529,542,522,498,500,513
Query q18: 570,544,512,638,562,587,534,565,559,521
Query q19: 429,439,411,473,453,429,444,429,458,424
Query q20: 417,417,389,443,431,406,396,411,413,406
Query q21: 1504,1355,1359,1457,1450,1458,1347,1374,1387,1359
Query q22: 152,140,161,183,164,180,139,150,145,165
