Query q1: 3058,2980,2949,3037,2932,2961,2962,3018,2849,3085
Query q2: 2178,1998,1872,1801,1791,1766,1787,1809,1690,1809
Query q3: 3224,2923,2956,2896,2825,2804,2847,3002,2806,2864
Query q4: 2216,2088,2119,2149,2084,2025,2160,2224,2149,2128
Query q5: 3335,3003,3050,3178,3000,3048,2999,3212,2943,3219
Query q6: 1822,1862,1854,1826,1899,1877,1766,1891,1897,1894
Query q7: 3064,3257,3214,3094,3198,3265,3029,3200,3145,3198
Query q8: 2970,3181,2857,2922,2865,2964,2935,2941,3070,2935
Query q9: 3996,4186,3845,4117,3808,4013,4181,4099,4220,4087
Query q10: 3062,3032,2846,3026,3054,2933,2915,3149,2941,3174
Query q11: 1670,1511,1421,1534,1553,1492,1463,1562,1513,1592
Query q12: 1983,1978,1922,1909,1883,1896,1996,1951,2036,2037
Query q13: 1062,1064,1086,1037,1032,1046,1110,1104,1095,1085
Query q14: 2062,2091,2048,2018,2013,2009,2125,2116,2107,2069
Query q15: 3793,3938,3869,4130,3940,4014,3946,3996,4085,4078
Query q16: 756,765,795,813,758,746,767,793,808,798
Query q17: 2860,2761,2809,2952,2800,2840,2759,2915,2797,2840
Query q18: 3023,2952,2950,2981,2867,2956,2874,3000,2920,2983
Query q19: 2940,3015,2914,2873,2832,2900,2844,2816,2907,2890
Query q20: 2417,2504,2379,2521,2395,2444,2483,2441,2445,2390
Query q21: 5420,5461,5453,5478,5331,5540,5484,5363,5586,5514
Query q22: 812,771,739,766,755,786,761,728,831,765
