method,resource,start_offset_ms,duration_ms
GET,/tpch10/lineitem/lineitem.1.parquet,2872113,600
GET,/tpch10/lineitem/lineitem.1.parquet,2872204,909
GET,/tpch10/lineitem/lineitem.1.parquet,2873034,1286
GET,/tpch10/lineitem/lineitem.1.parquet,2872698,1666
GET,/tpch10/lineitem/lineitem.1.parquet,2872952,1500
GET,/tpch10/lineitem/lineitem.1.parquet,2874287,187
GET,/tpch10/lineitem/lineitem.1.parquet,2872547,2598
GET,/tpch10/lineitem/lineitem.1.parquet,2872763,2387
GET,/tpch10/lineitem/lineitem.1.parquet,2873200,2112
GET,/tpch10/lineitem/lineitem.1.parquet,2875226,116
GET,/tpch10/lineitem/lineitem.1.parquet,2875277,115
GET,/tpch10/lineitem/lineitem.1.parquet,2873104,2603
GET,/tpch10/lineitem/lineitem.1.parquet,2875711,266
GET,/tpch10/lineitem/lineitem.1.parquet,2875236,713
GET,/tpch10/lineitem/lineitem.1.parquet,2875849,220
GET,/tpch10/lineitem/lineitem.1.parquet,2875842,297
GET,/tpch10/lineitem/lineitem.1.parquet,2874355,1744
GET,/tpch10/lineitem/lineitem.1.parquet,2874247,1910
GET,/tpch10/lineitem/lineitem.1.parquet,2876044,214
GET,/tpch10/lineitem/lineitem.1.parquet,2874256,1905
GET,/tpch10/lineitem/lineitem.1.parquet,2875976,765
GET,/tpch10/lineitem/lineitem.1.parquet,2876079,159
GET,/tpch10/lineitem/lineitem.1.parquet,2876770,242
GET,/tpch10/lineitem/lineitem.1.parquet,2876829,520
GET,/tpch10/lineitem/lineitem.1.parquet,2876999,636
GET,/tpch10/lineitem/lineitem.1.parquet,2877001,749
GET,/tpch10/lineitem/lineitem.1.parquet,2876993,773
GET,/tpch10/lineitem/lineitem.1.parquet,2877015,1146
GET,/tpch10/lineitem/lineitem.1.parquet,2876827,1510
GET,/tpch10/lineitem/lineitem.1.parquet,2877732,916
GET,/tpch10/lineitem/lineitem.1.parquet,2876939,1726
GET,/tpch10/lineitem/lineitem.1.parquet,2878348,326
GET,/tpch10/lineitem/lineitem.1.parquet,2877650,1023
