method,resource,start_offset_ms,duration_ms
GET,/tpch10/customer/customer.parquet,1384127,132
GET,/tpch10/customer/customer.parquet,1384318,112
GET,/tpch10/customer/customer.parquet,1384239,317
GET,/tpch10/customer/customer.parquet,1384236,1637
GET,/tpch10/customer/customer.parquet,1384477,1616
GET,/tpch10/orders/orders.1.parquet,1387515,275
GET,/tpch10/orders/orders.1.parquet,1387653,283
GET,/tpch10/orders/orders.1.parquet,1384478,3487
GET,/tpch10/customer/customer.parquet,1387839,141
GET,/tpch10/orders/orders.1.parquet,1384450,3528
GET,/tpch10/orders/orders.1.parquet,1387753,252
GET,/tpch10/customer/customer.parquet,1388015,536
GET,/tpch10/nation/nation.parquet,1388726,38
GET,/tpch10/orders/orders.1.parquet,1388030,734
GET,/tpch10/customer/customer.parquet,1388085,715
GET,/tpch10/customer/customer.parquet,1388722,316
GET,/tpch10/orders/orders.1.parquet,1388768,773
GET,/tpch10/orders/orders.1.parquet,1385971,3594
GET,/tpch10/supplier/supplier.parquet,1388704,893
GET,/tpch10/orders/orders.1.parquet,1385285,4495
GET,/tpch10/orders/orders.1.parquet,1386079,3726
GET,/tpch10/orders/orders.1.parquet,1389647,201
GET,/tpch10/orders/orders.1.parquet,1385252,1599
GET,/tpch10/customer/customer.parquet,1389767,257
GET,/tpch10/supplier/supplier.parquet,1385970,4114
GET,/tpch10/orders/orders.1.parquet,1386014,4075
GET,/tpch10/orders/orders.1.parquet,1389854,249
GET,/tpch10/orders/orders.1.parquet,1389960,337
GET,/tpch10/orders/orders.1.parquet,1385132,5188
GET,/tpch10/orders/orders.1.parquet,1390023,318
GET,/tpch10/customer/customer.parquet,1390018,417
GET,/tpch10/orders/orders.1.parquet,1387568,3176
GET,/tpch10/orders/orders.1.parquet,1387434,3277
GET,/tpch10/orders/orders.1.parquet,1388145,2600
GET,/tpch10/customer/customer.parquet,1385196,5769
GET,/tpch10/customer/customer.parquet,1384475,6791
GET,/tpch10/orders/orders.1.parquet,1390920,737
GET,/tpch10/orders/orders.1.parquet,1391115,823
GET,/tpch10/orders/orders.1.parquet,1390371,1795
GET,/tpch10/orders/orders.1.parquet,1388048,3140
GET,/tpch10/orders/orders.1.parquet,1392174,250
GET,/tpch10/orders/orders.1.parquet,1390119,2325
GET,/tpch10/orders/orders.1.parquet,1388027,4448
GET,/tpch10/orders/orders.1.parquet,1389495,2987
GET,/tpch10/orders/orders.1.parquet,1392357,161
GET,/tpch10/orders/orders.1.parquet,1386030,6517
GET,/tpch10/customer/customer.parquet,1388102,4472
GET,/tpch10/orders/orders.1.parquet,1392442,187
GET,/tpch10/orders/orders.1.parquet,1389717,2918
GET,/tpch10/orders/orders.1.parquet,1392470,182
GET,/tpch10/orders/orders.1.parquet,1385881,5322
GET,/tpch10/orders/orders.1.parquet,1385252,6060
GET,/tpch10/orders/orders.1.parquet,1389471,3186
GET,/tpch10/orders/orders.1.parquet,1392493,189
GET,/tpch10/orders/orders.1.parquet,1390448,2235
GET,/tpch10/orders/orders.1.parquet,1385159,6108
GET,/tpch10/customer/customer.parquet,1392666,71
GET,/tpch10/orders/orders.1.parquet,1392615,160
GET,/tpch10/customer/customer.parquet,1392511,275
GET,/tpch10/orders/orders.1.parquet,1392690,219
GET,/tpch10/orders/orders.1.parquet,1392870,174
GET,/tpch10/orders/orders.1.parquet,1393098,125
GET,/tpch10/orders/orders.1.parquet,1390290,3013
GET,/tpch10/orders/orders.1.parquet,1391093,2292
GET,/tpch10/orders/orders.1.parquet,1390932,2770
GET,/tpch10/orders/orders.1.parquet,1393716,556
GET,/tpch10/orders/orders.1.parquet,1392308,2278
GET,/tpch10/orders/orders.1.parquet,1392704,1890
GET,/tpch10/orders/orders.1.parquet,1389805,4839
GET,/tpch10/customer/customer.parquet,1394631,72
GET,/tpch10/customer/customer.parquet,1394650,88
GET,/tpch10/customer/customer.parquet,1394714,79
GET,/tpch10/customer/customer.parquet,1394693,125
GET,/tpch10/orders/orders.1.parquet,1394169,693
GET,/tpch10/customer/customer.parquet,1393748,1136
GET,/tpch10/orders/orders.1.parquet,1394682,210
GET,/tpch10/customer/customer.parquet,1394779,102
GET,/tpch10/customer/customer.parquet,1394690,227
GET,/tpch10/customer/customer.parquet,1394709,215
GET,/tpch10/customer/customer.parquet,1394654,280
GET,/tpch10/customer/customer.parquet,1394650,303
GET,/tpch10/orders/orders.1.parquet,1388874,5397
GET,/tpch10/orders/orders.1.parquet,1391105,3941
GET,/tpch10/orders/orders.1.parquet,1389720,4596
GET,/tpch10/orders/orders.1.parquet,1394963,163
GET,/tpch10/customer/customer.parquet,1395075,57
GET,/tpch10/customer/customer.parquet,1394889,250
GET,/tpch10/orders/orders.1.parquet,1392710,2441
GET,/tpch10/customer/customer.parquet,1394987,249
GET,/tpch10/customer/customer.parquet,1394999,270
GET,/tpch10/orders/orders.1.parquet,1391110,4275
GET,/tpch10/orders/orders.1.parquet,1391109,4287
GET,/tpch10/orders/orders.1.parquet,1393266,2178
GET,/tpch10/customer/customer.parquet,1395239,271
GET,/tpch10/customer/customer.parquet,1395402,271
GET,/tpch10/customer/customer.parquet,1395687,69
GET,/tpch10/customer/customer.parquet,1395713,56
GET,/tpch10/customer/customer.parquet,1395718,64
GET,/tpch10/orders/orders.1.parquet,1392756,3149
GET,/tpch10/customer/customer.parquet,1395721,246
GET,/tpch10/orders/orders.1.parquet,1393717,2264
GET,/tpch10/orders/orders.1.parquet,1392975,3059
