query_number,scale,Min,Mean,Max
1,1,1682,1942.6,2254
1,10,1856,2203.0,2703
1,100,3893,5348.3,6847
1,1000,19070,51282.8,177947
2,1,1484,1701.9,2131
2,10,2416,2810.2,4229
2,100,3353,10749.7,72557
2,1000,14655,23476.4,51907
3,1,2135,2486.8,3353
3,10,2288,2749.3,4186
3,100,5523,7403.0,17123
3,1000,68098,165260.0,535923
4,1,1853,1987.0,2090
4,10,1937,2118.0,2364
4,100,3813,11585.6,65874
4,1000,19541,143685.8,418482
5,1,2142,2406.7,3124
5,10,2371,2815.3,4249
5,100,7279,17660.6,53930
5,1000,126196,188918.4,272898
6,1,1888,2044.2,2274
6,10,1943,2193.5,2709
6,100,4217,5464.9,7426
6,1000,20780,135468.8,383358
7,1,2316,2544.9,3183
7,10,2513,3017.5,4360
7,100,6770,15511.9,78517
7,1000,51326,155677.2,360358
8,1,2196,2592.1,3200
8,10,2936,3155.7,3584
8,100,6022,7608.6,8744
8,1000,41033,147253.2,295166
9,1,1949,2219.1,2564
9,10,2351,2625.5,3248
9,100,9061,10058.7,13003
9,1000,60535,205860.4,520544
10,1,2227,2475.2,2877
10,10,2637,2906.0,3129
10,100,5669,6414.0,8278
10,1000,37521,185072.6,617942
11,1,1223,1402.7,1751
11,10,1515,1688.4,2132
11,100,2781,9883.4,66362
11,1000,8829,112268.4,388903
12,1,2380,2583.0,2758
12,10,2244,2569.5,3114
12,100,5718,8572.6,18113
12,1000,32865,98361.4,322286
13,1,1324,1723.7,3171
13,10,1868,2426.1,4532
13,100,4895,18533.6,73708
13,1000,35998,65705.8,108862
14,1,1889,2068.8,2177
14,10,1870,2084.2,2480
14,100,3978,5342.8,9589
14,1000,17764,75819.2,253162
15,1,1867,2180.0,2553
15,10,1760,2081.7,2742
15,100,5645,7155.7,11003
15,1000,28677,29662.0,30701
16,1,1849,2104.0,2601
16,10,3103,3344.6,3700
16,100,3793,4364.7,5154
16,1000,13336,104470.0,435299
17,1,2505,2986.5,4882
17,10,3276,3535.2,4032
17,100,24630,34616.4,103839
17,1000,605144,694849.0,736154
18,1,2166,2612.4,3356
18,10,2761,3582.3,5398
18,100,13753,15170.2,18225
18,1000,351619,482848.8,556586
19,1,2276,2541.0,2928
19,10,2210,2523.0,3181
19,100,4640,5497.3,6025
19,1000,23808,123119.0,513160
20,1,2220,2537.4,3036
20,10,2362,2948.0,5297
20,100,5412,6316.0,7286
20,1000,29781,84327.8,180236
21,1,2255,2857.8,4188
21,10,2771,3397.8,4329
21,100,10226,12720.6,16968
21,1000,242513,370252.6,682957
22,1,2505,2734.0,3409
22,10,4625,4886.4,5682
22,100,5248,25859.9,78589
22,1000,19580,73188.8,267423
