query_number,scale,Min,Mean,Max
1,1,10910.0,12072.6,14266.0
1,10,11716.0,14457.2,20816.0
1,100,12320.0,13952.5,18491.0
1,1000,12158.0,14940.1,20580.0
2,1,4906.0,5977.0,6993.0
2,10,20168.0,23215.7,36833.0
2,100,20734.0,24740.5,26495.0
2,1000,23982.0,28275.3,32296.999999999996
3,1,13739.0,15513.3,21086.0
3,10,25254.0,27443.7,32033.0
3,100,20873.0,22494.1,31014.0
3,1000,14233.0,19892.9,32974.0
4,1,14494.0,15624.3,16560.0
4,10,11959.0,12784.3,13470.0
4,100,11908.0,14506.2,17886.0
4,1000,12724.0,17412.2,35079.0
5,1,11983.0,14484.8,15961.0
5,10,25408.0,27174.4,30691.0
5,100,14531.0,17674.5,21704.0
5,1000,18412.0,23482.7,33612.0
6,1,8419.0,13540.5,50233.0
6,10,8872.0,9529.1,10539.0
6,100,8697.0,9885.0,14924.0
6,1000,8875.0,10574.6,14163.0
7,1,12455.0,14818.4,16793.0
7,10,12959.0,15164.5,20669.0
7,100,15733.0,18433.1,24042.0
7,1000,22152.0,26442.7,36428.0
8,1,13413.0,15205.1,16441.0
8,10,15187.0,23171.3,26734.0
8,100,19643.0,31028.2,44127.0
8,1000,25500.0,33259.4,40255.0
9,1,16206.0,18036.6,19716.0
9,10,15834.0,16756.2,18323.0
9,100,18911.0,27268.0,37880.0
9,1000,21792.0,29900.4,52251.0
10,1,13899.0,15137.9,16248.000000000002
10,10,14996.0,22047.3,32216.0
10,100,16001.999999999998,17942.6,20661.0
10,1000,19809.0,22190.2,24832.0
11,1,3044.0,3828.4,4702.0
11,10,10751.0,11629.5,12300.0
11,100,11957.0,14010.0,17671.0
11,1000,13631.0,16866.8,19931.0
12,1,12525.0,15515.5,16858.0
12,10,18635.0,20121.9,26005.0
12,100,13613.0,20775.2,31747.0
12,1000,12329.0,15721.1,25157.0
13,1,6462.0,7232.5,8035.0
13,10,13382.0,14256.7,15249.0
13,100,20087.0,23087.0,27568.0
13,1000,19598.0,23699.7,28386.0
14,1,10528.0,11199.6,11964.0
14,10,14868.0,15625.8,17009.0
14,100,12354.0,14228.2,17612.0
14,1000,14759.0,19832.8,27711.0
15,1,6240.0,10010.0,11157.0
15,10,11885.0,12332.0,12986.0
15,100,15366.0,17191.5,20113.0
15,1000,20115.0,27162.4,35240.0
16,1,4022.0000000000005,4568.8,5149.0
16,10,11475.0,15347.8,17039.0
16,100,16889.0,18488.2,21543.0
16,1000,22351.0,24935.8,30597.0
17,1,17486.0,19775.1,24862.0
17,10,24903.0,26586.6,27295.0
17,100,37075.0,40157.8,46438.0
17,1000,41513.0,49882.5,69299.0
18,1,15374.0,18860.1,23135.0
18,10,24271.0,26696.7,29074.0
18,100,25662.0,28945.2,37111.0
18,1000,32957.0,40134.8,57581.0
19,1,10250.0,11680.0,12948.0
19,10,14030.0,16937.3,33839.0
19,100,22020.0,24681.7,30056.0
19,1000,13621.0,16606.4,24119.0
20,1,11873.0,13912.6,22421.0
20,10,13139.0,16513.7,26434.0
20,100,20665.0,24350.6,31530.0
20,1000,32148.000000000004,37036.3,47536.0
21,1,18162.0,19788.0,21064.0
21,10,17097.0,18902.1,21744.0
21,100,22232.0,26691.5,39180.0
21,1000,35696.0,39970.5,57376.0
22,1,5059.0,5814.3,6726.0
22,10,15729.0,17843.5,20030.0
22,100,19835.0,24449.6,36496.0
22,1000,26994.0,31295.5,46290.0
