query_number,scale,Min,Mean,Max
1,1,449,509.7,699
2,1,950,1083.3,1363
3,1,653,715.9,868
4,1,433,473.8,543
5,1,921,1009.7,1139
6,1,315,337.2,350
7,1,827,908.8,967
8,1,984,1077.7,1190
9,1,963,1037.9,1097
10,1,850,919.1,985
11,1,583,639.7,699
12,1,402,465.1,517
13,1,306,351.0,392
14,1,448,491.5,553
15,1,643,725.9,826
16,1,337,377.5,415
17,1,634,672.4,732
18,1,661,720.4,788
19,1,592,625.7,671
20,1,725,784.8,883
21,1,1073,1112.2,1165
22,1,384,419.0,455
1,10,2849,2983.1,3085
2,10,1690,1850.1,2178
3,10,2804,2914.7,3224
4,10,2025,2134.2,2224
5,10,2943,3098.7,3335
6,10,1766,1858.8,1899
7,10,3029,3166.4,3265
8,10,2857,2964.0,3181
9,10,3808,4055.2,4220
10,10,2846,3013.2,3174
11,10,1421,1531.1,1670
12,10,1883,1959.1,2037
13,10,1032,1072.1,1110
14,10,2009,2065.8,2125
15,10,3793,3978.9,4130
16,10,746,779.9,813
17,10,2759,2833.3,2952
18,10,2867,2950.6,3023
19,10,2816,2893.1,3015
20,10,2379,2441.9,2521
21,10,5331,5463.0,5586
22,10,728,771.4,831
1,100,13897,13973.2,14047
2,100,4556,4694.6,4847
3,100,12085,12237.6,12552
4,100,8842,8912.0,8968
5,100,11973,12187.6,12264
6,100,8068,8180.8,8309
7,100,13075,13203.2,13341
8,100,11440,11523.4,11643
9,100,20650,21065.4,21431
10,100,12767,12807.4,12846
11,100,5144,5174.8,5242
12,100,8384,8428.4,8468
13,100,5034,5139.4,5274
14,100,9369,9412.4,9549
15,100,17220,17401.6,17698
16,100,2414,2451.6,2492
17,100,11913,12065.4,12349
18,100,12912,13160.8,13491
19,100,13172,13313.4,13625
20,100,9746,9946.4,10294
21,100,25879,26475.0,27512
22,100,2539,2600.0,2661
