query_number,scale,Min,Mean,Max
1,1,171,185.0,194
2,1,125,139.0,148
3,1,244,251.33333333333334,256
4,1,186,193.66666666666666,209
5,1,283,309.6666666666667,349
6,1,86,89.0,95
7,1,279,289.0,296
8,1,363,382.3333333333333,417
9,1,708,716.0,723
10,1,684,697.3333333333334,712
11,1,128,129.0,130
12,1,158,164.33333333333334,176
13,1,529,532.6666666666666,539
14,1,142,149.33333333333334,155
15,1,133,143.66666666666666,152
16,1,462,467.0,472
17,1,322,335.6666666666667,359
18,1,364,388.3333333333333,411
19,1,320,326.3333333333333,330
20,1,155,174.33333333333334,193
21,1,750,784.0,803
22,1,236,251.33333333333334,278
1,10,844,965.0,1194
2,10,625,674.6666666666666,740
3,10,1643,1737.6666666666667,1909
4,10,850,865.3333333333334,880
5,10,2363,2451.3333333333335,2592
6,10,490,517.0,539
7,10,2021,2055.0,2077
8,10,2867,2884.0,2896
9,10,5179,5266.0,5402
10,10,2012,2079.3333333333335,2198
11,10,487,498.3333333333333,505
12,10,842,852.3333333333334,872
13,10,1521,1544.6666666666667,1565
14,10,893,903.3333333333334,917
15,10,984,1018.0,1049
16,10,1290,1309.0,1338
17,10,2664,2718.3333333333335,2746
18,10,2737,2833.3333333333335,2915
19,10,1184,1193.3333333333333,1205
20,10,1037,1081.6666666666667,1128
21,10,4253,4462.333333333333,4570
22,10,817,827.0,838
