query_number,scale,Min,Mean,Max
1,1,1084,1169.9,1275
1,10,1118,1252.9,1832
1,100,6226,6731.7,7150
2,1,646,753.0,970
2,10,1591,1754.0,2427
2,100,8487,12389.1,20027
3,1,1248,1381.7,1497
3,10,2297,2445.4,2808
3,100,19108,21391.0,23174
4,1,1252,1383.6,1493
4,10,1240,1300.6,1411
4,100,6887,7374.2,8070
5,1,1360,1495.8,1611
5,10,4461,4744.8,5466
6,1,1384,1437.8,1510
6,10,1279,1353.0,1432
6,100,7571,7932.1,8257
7,1,2211,2337.7,2589
7,10,7016,7318.0,7732
7,100,23691,25499.9,27225
8,1,1437,1568.2,1733
8,10,5376,5708.7,6081
9,1,1270,1518.1,1836
9,10,7369,7539.9,8307
10,1,1271,1373.1,1531
10,10,2149,2283.8,2706
10,100,16350,18283.3,26418
11,1,454,521.2,693
11,10,913,997.0,1155
11,100,6976,8139.0,9372
12,1,1381,1486.8,1555
12,10,1767,1872.7,1962
12,100,11860,13194.0,15325
13,1,866,934.3,1079
13,10,1242,1309.4,1595
13,100,9606,11266.8,13220
14,1,1054,1127.7,1190
14,10,1074,1155.4,1306
14,100,6154,6697.5,7281
15,1,1064,1143.7,1193
15,10,1851,1921.8,1962
15,100,10662,11463.8,12284
16,1,570,616.2,719
16,10,2173,2300.0,2649
16,100,4566,5151.5,5942
17,1,697,786.3,872
17,10,4931,5178.3,5578
17,100,26959,29719.5,32610
18,1,870,965.0,1116
18,10,3429,3596.2,4060
19,1,1256,1348.4,1431
19,10,1306,1374.2,1518
19,100,8112,8599.2,8963
20,1,1261,1367.9,1484
20,10,2090,2196.1,2627
20,100,12419,14066.0,17588
21,1,2708,3055.0,3480
21,10,12778,13504.1,14767
22,1,1119,1218.2,1391
22,10,2448,2507.4,2557
22,100,3040,3318.5,3543
