seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
0,q12_0,success,0.002,1.856,0.002,1.856,1.854
1,q6_1,success,1.869,2.117,1.869,2.117,0.248
2,q12_2,success,2.12,4.319,2.12,4.319,2.199
3,q12_3,success,4.327,6.757,4.327,6.757,2.43
4,q12_4,success,6.767,9.142,6.767,9.142,2.375
5,q6_5,success,9.159,10.235,9.159,10.235,1.076
6,q12_6,success,10.253,12.443,10.253,12.443,2.19
7,q12_7,success,12.454,14.609,12.454,14.609,2.155
8,q6_8,success,14.615,14.788,14.615,14.788,0.173
9,q12_9,success,14.791,17.076,14.791,17.076,2.285
10,q12_10,success,17.085,19.27,17.085,19.27,2.185
11,q12_11,success,19.279,21.583,19.279,21.583,2.304
12,q12_12,success,21.59,23.978,21.59,23.978,2.388
13,q1_13,success,23.985,24.278,23.985,24.278,0.293
14,q6_14,success,24.28,24.452,24.28,24.452,0.172
15,q22_15,success,24.454,24.784,24.454,24.784,0.33
16,q6_16,success,24.785,24.906,24.785,24.906,0.121
17,q22_17,success,24.907,25.196,24.907,25.196,0.289
18,q1_18,success,25.198,25.394,25.198,25.394,0.196
19,q13_19,success,25.396,25.939,25.396,25.939,0.543
20,q6_20,success,25.94,26.906,25.94,26.906,0.966
21,q6_21,success,26.909,27.098,26.909,27.098,0.189
22,q6_22,success,27.1,27.347,27.1,27.347,0.247
23,q10_23,success,27.348,28.917,27.348,28.917,1.569
24,q17_24,success,28.921,35.027,28.921,35.027,6.106
25,q6_25,success,35.037,35.175,35.037,35.175,0.138
26,q6_26,success,35.176,35.851,35.176,35.851,0.675
27,q6_27,success,35.852,36.02,35.852,36.02,0.168
28,q1_28,success,36.021,36.709,36.021,36.709,0.688
29,q6_29,success,36.711,36.925,36.711,36.925,0.214
30,q1_30,error,36.927,37.032,36.927,37.032,0.105
31,q6_31,success,37.034,38.842,37.034,38.842,1.808
32,q10_32,success,38.846,39.541,38.846,39.541,0.695
33,q18_33,success,39.542,39.833,39.542,39.833,0.291
34,q1_34,success,39.836,41.355,39.836,41.355,1.519
35,q4_35,success,41.358,41.535,41.358,41.535,0.177
36,q19_36,success,41.536,41.827,41.536,41.827,0.291
37,q1_37,success,41.828,42.009,41.828,42.009,0.181
38,q11_38,success,42.01,43.364,42.01,43.364,1.354
39,q6_39,success,43.37,44.548,43.37,44.548,1.178
40,q21_40,success,44.552,45.541,44.552,45.541,0.989
41,q6_41,success,45.544,45.871,45.544,45.871,0.327
42,q1_42,success,45.873,46.108,45.873,46.108,0.235
43,q13_43,success,46.108,47.321,46.108,47.321,1.213
44,q13_44,success,47.322,47.847,47.322,47.847,0.525
45,q6_45,success,47.848,48.002,47.848,48.002,0.154
46,q6_46,success,48.004,48.995,48.004,48.995,0.991
47,q6_47,success,48.998,49.118,48.998,49.118,0.12
48,q14_48,success,49.12,50.805,49.12,50.805,1.685
49,q1_49,success,50.811,52.317,50.811,52.317,1.506
50,q1_50,success,52.321,54.035,52.321,54.035,1.714
51,q1_51,success,54.039,54.286,54.039,54.286,0.247
52,q6_52,success,54.287,54.431,54.287,54.431,0.144
53,q12_53,success,54.431,54.588,54.431,54.588,0.157
54,q1_54,success,54.589,54.816,54.589,54.816,0.227
55,q16_55,success,54.817,56.114,54.817,56.114,1.297
56,q14_56,success,56.123,56.473,56.123,56.473,0.35
57,q6_57,success,56.476,57.569,56.476,57.569,1.093
58,q1_58,success,57.571,57.735,57.571,57.735,0.164
59,q1_59,success,57.736,58.025,57.736,58.025,0.289
60,q1_60,success,58.027,59.529,58.027,59.529,1.502
61,q6_61,success,59.532,60.49,59.532,60.49,0.958
62,q6_62,success,60.493,60.701,60.493,60.701,0.208
63,q1_63,success,60.702,60.854,60.702,60.854,0.152
64,q6_64,success,60.855,60.968,60.855,60.968,0.113
65,q4_65,success,60.969,61.347,60.969,61.347,0.378
66,q6_66,success,61.349,61.493,61.349,61.493,0.144
67,q6_67,success,61.494,61.726,61.494,61.726,0.232
68,q6_68,success,61.727,61.868,61.727,61.868,0.141
69,q6_69,success,61.869,62.0,61.869,62.0,0.131
70,q6_70,success,62.001,62.16,62.001,62.16,0.159
71,q6_71,success,62.161,62.277,62.161,62.277,0.116
72,q6_72,success,62.277,62.398,62.277,62.398,0.121
73,q6_73,success,62.4,63.355,62.4,63.355,0.955
74,q6_74,success,63.357,63.519,63.357,63.519,0.162
75,q1_75,success,63.52,64.954,63.52,64.954,1.434
76,q6_76,success,64.957,65.235,64.957,65.235,0.278
77,q6_77,success,65.236,66.119,65.236,66.119,0.883
78,q6_78,success,66.123,67.063,66.123,67.063,0.94
79,q1_79,success,67.066,67.201,67.066,67.201,0.135
80,q1_80,success,67.201,67.345,67.201,67.345,0.144
81,q1_81,success,67.345,67.574,67.345,67.574,0.229
82,q6_82,success,67.575,67.686,67.575,67.686,0.111
83,q6_83,success,67.687,67.763,67.687,67.763,0.076
84,q1_84,success,67.765,67.979,67.765,67.979,0.214
85,q1_85,success,67.98,68.115,67.98,68.115,0.135
86,q6_86,success,68.116,68.197,68.116,68.197,0.081
87,q19_87,success,68.199,70.204,68.199,70.204,2.005
88,q6_88,success,70.209,70.407,70.209,70.407,0.198
89,q1_89,success,70.408,70.602,70.408,70.602,0.194
90,q1_90,success,70.603,70.743,70.603,70.743,0.14
91,q6_91,success,70.744,70.88,70.744,70.88,0.136
92,q6_92,success,70.882,71.105,70.882,71.105,0.223
93,q6_93,success,71.106,71.432,71.106,71.432,0.326
94,q6_94,success,71.433,71.564,71.433,71.564,0.131
95,q6_95,success,71.566,72.79,71.566,72.79,1.224
96,q2_96,success,72.794,73.406,72.794,73.406,0.612
97,q6_97,success,73.407,73.557,73.407,73.557,0.15
98,q6_98,success,73.559,74.473,73.559,74.473,0.914
99,q6_99,success,74.476,74.714,74.476,74.714,0.238
100,q1_100,success,74.716,76.214,74.716,76.214,1.498
101,q6_101,success,76.216,76.356,76.216,76.356,0.14
102,q6_102,success,76.357,76.457,76.357,76.457,0.1
103,q1_103,success,76.459,77.995,76.459,77.995,1.536
104,q4_104,success,77.998,78.799,77.998,78.799,0.801
105,q6_105,success,78.801,78.922,78.801,78.922,0.121
106,q6_106,success,78.924,79.865,78.924,79.865,0.941
107,q1_107,success,79.868,80.102,79.868,80.102,0.234
108,q6_108,success,80.103,80.248,80.103,80.248,0.145
109,q1_109,success,80.249,80.534,80.249,80.534,0.285
110,q6_110,success,80.535,80.707,80.535,80.707,0.172
111,q6_111,success,80.708,80.891,80.708,80.891,0.183
112,q6_112,success,80.892,80.974,80.892,80.974,0.082
113,q6_113,success,80.975,81.145,80.975,81.145,0.17
114,q1_114,success,81.146,82.691,81.146,82.691,1.545
115,q1_115,success,82.693,84.102,82.693,84.102,1.409
116,q1_116,success,84.106,84.43,84.106,84.43,0.324
117,q6_117,success,84.43,84.613,84.43,84.613,0.183
118,q6_118,success,84.615,84.74,84.615,84.74,0.125
119,q6_119,success,84.741,84.825,84.741,84.825,0.084
120,q1_120,success,84.827,86.381,84.827,86.381,1.554
121,q6_121,success,86.383,86.462,86.383,86.462,0.079
122,q6_122,success,86.462,86.594,86.462,86.594,0.132
123,q1_123,success,86.596,88.004,86.596,88.004,1.408
124,q1_124,success,88.006,88.298,88.006,88.298,0.292
125,q6_125,success,88.299,88.428,88.299,88.428,0.129
126,q1_126,success,88.429,88.655,88.429,88.655,0.226
127,q1_127,success,88.658,90.086,88.658,90.086,1.428
128,q1_128,success,90.089,90.368,90.089,90.368,0.279
129,q1_129,success,90.37,90.621,90.37,90.621,0.251
130,q18_130,success,90.624,96.647,90.624,96.647,6.023
131,q1_131,success,96.655,96.807,96.655,96.807,0.152
132,q18_132,success,96.809,97.137,96.809,97.137,0.328
133,q4_133,success,97.138,99.678,97.138,99.678,2.54
134,q1_134,success,99.684,101.333,99.684,101.333,1.649
135,q6_135,success,101.337,101.491,101.337,101.491,0.154
136,q6_136,success,101.493,102.408,101.493,102.408,0.915
137,q18_137,success,102.411,102.764,102.411,102.764,0.353
138,q1_138,success,102.766,102.92,102.766,102.92,0.154
139,q1_139,success,102.922,104.431,102.922,104.431,1.509
140,q1_140,success,104.433,104.684,104.433,104.684,0.251
141,q6_141,success,104.688,105.652,104.688,105.652,0.964
142,q6_142,success,105.656,106.562,105.656,106.562,0.906
143,q6_143,success,106.566,107.462,106.566,107.462,0.896
144,q1_144,success,107.466,108.914,107.466,108.914,1.448
145,q1_145,success,108.917,110.461,108.917,110.461,1.544
146,q1_146,success,110.465,110.829,110.465,110.829,0.364
147,q6_147,success,110.831,111.074,110.831,111.074,0.243
148,q1_148,success,111.075,111.299,111.075,111.299,0.224
149,q6_149,success,111.3,111.472,111.3,111.472,0.172
150,q18_150,success,111.474,112.562,111.474,112.562,1.088
151,q6_151,success,112.568,113.718,112.568,113.718,1.15
152,q6_152,success,113.724,114.83,113.724,114.83,1.106
153,q6_153,success,114.834,115.062,114.834,115.062,0.228
154,q1_154,success,115.063,115.352,115.063,115.352,0.289
155,q1_155,success,115.354,116.853,115.354,116.853,1.499
156,q1_156,success,116.856,118.281,116.856,118.281,1.425
157,q1_157,success,118.284,119.789,118.284,119.789,1.505
158,q6_158,success,119.795,120.764,119.795,120.764,0.969
159,q1_159,success,120.767,120.989,120.767,120.989,0.222
160,q1_160,success,120.991,122.39,120.991,122.39,1.399
161,q6_161,success,122.394,123.353,122.394,123.353,0.959
162,q6_162,success,123.357,124.229,123.357,124.229,0.872
163,q17_163,success,124.233,130.394,124.233,130.394,6.161
164,q6_164,success,130.401,132.176,130.401,132.176,1.775
165,q6_165,success,132.182,133.049,132.182,133.049,0.867
166,q1_166,success,133.052,133.385,133.052,133.385,0.333
167,q1_167,success,133.387,134.898,133.387,134.898,1.511
168,q6_168,success,134.9,135.031,134.9,135.031,0.131
169,q6_169,success,135.032,135.196,135.032,135.196,0.164
170,q6_170,success,135.198,136.158,135.198,136.158,0.96
171,q1_171,success,136.162,137.649,136.162,137.649,1.487
172,q6_172,success,137.652,138.607,137.652,138.607,0.955
173,q6_173,success,138.609,138.805,138.609,138.805,0.196
174,q1_174,success,138.808,140.268,138.808,140.268,1.46
175,q6_175,success,140.272,141.179,140.272,141.179,0.907
176,q6_176,success,141.184,141.44,141.184,141.44,0.256
177,q6_177,success,141.442,142.366,141.442,142.366,0.924
178,q1_178,success,142.37,143.814,142.37,143.814,1.444
179,q6_179,success,143.818,144.961,143.818,144.961,1.143
180,q1_180,success,144.965,146.491,144.965,146.491,1.526
181,q6_181,success,146.494,147.423,146.494,147.423,0.929
182,q6_182,success,147.426,147.666,147.426,147.666,0.24
183,q16_183,success,147.667,148.178,147.667,148.178,0.511
184,q1_184,success,148.184,149.708,148.184,149.708,1.524
185,q6_185,success,149.71,149.866,149.71,149.866,0.156
186,q6_186,success,149.868,150.781,149.868,150.781,0.913
187,q6_187,success,150.784,151.663,150.784,151.663,0.879
188,q1_188,success,151.666,151.864,151.666,151.864,0.198
189,q6_189,success,151.866,151.959,151.866,151.959,0.093
190,q19_190,success,151.959,152.297,151.959,152.297,0.338
191,q6_191,success,152.299,153.259,152.299,153.259,0.96
192,q18_192,success,153.262,153.605,153.262,153.605,0.343
193,q1_193,success,153.606,153.755,153.606,153.755,0.149
194,q1_194,success,153.756,153.874,153.756,153.874,0.118
195,q13_195,success,153.875,154.416,153.875,154.416,0.541
196,q6_196,success,154.416,154.63,154.416,154.63,0.214
197,q2_197,success,154.631,155.102,154.631,155.102,0.471
198,q1_198,success,155.104,156.651,155.104,156.651,1.547
199,q6_199,success,156.656,156.758,156.656,156.758,0.102
200,q6_200,success,156.758,156.849,156.758,156.849,0.091
201,q6_201,success,156.85,157.055,156.85,157.055,0.205
202,q6_202,success,157.056,157.25,157.056,157.25,0.194
203,q6_203,success,157.252,157.347,157.252,157.347,0.095
204,q22_204,success,157.347,157.624,157.347,157.624,0.277
205,q1_205,success,157.626,159.049,157.626,159.049,1.423
206,q1_206,success,159.051,159.357,159.051,159.357,0.306
207,q6_207,success,159.361,160.247,159.361,160.247,0.886
208,q6_208,success,160.251,160.377,160.251,160.377,0.126
209,q6_209,success,160.378,160.543,160.378,160.543,0.165
210,q6_210,success,160.545,160.676,160.545,160.676,0.131
211,q6_211,success,160.677,160.849,160.677,160.849,0.172
212,q1_212,success,160.851,162.464,160.851,162.464,1.613
213,q6_213,success,162.468,163.383,162.468,163.383,0.915
214,q6_214,success,163.386,163.491,163.386,163.491,0.105
215,q6_215,success,163.492,163.567,163.492,163.567,0.075
216,q6_216,success,163.567,163.724,163.567,163.724,0.157
217,q6_217,success,163.726,163.85,163.726,163.85,0.124
218,q6_218,success,163.851,164.003,163.851,164.003,0.152
219,q1_219,success,164.003,164.236,164.003,164.236,0.233
220,q1_220,success,164.237,164.534,164.237,164.534,0.297
221,q1_221,success,164.536,166.028,164.536,166.028,1.492
222,q6_222,success,166.031,166.917,166.031,166.917,0.886
223,q6_223,success,166.921,167.159,166.921,167.159,0.238
224,q12_224,success,167.16,167.337,167.16,167.337,0.177
225,q1_225,success,167.338,168.724,167.338,168.724,1.386
226,q1_226,success,168.727,170.27,168.727,170.27,1.543
227,q4_227,success,170.274,170.629,170.274,170.629,0.355
228,q1_228,success,170.632,172.26,170.632,172.26,1.628
229,q1_229,success,172.263,173.794,172.263,173.794,1.531
230,q6_230,success,173.796,173.978,173.796,173.978,0.182
231,q1_231,success,173.979,174.2,173.979,174.2,0.221
232,q6_232,success,174.202,174.37,174.202,174.37,0.168
233,q6_233,success,174.372,174.529,174.372,174.529,0.157
234,q1_234,success,174.53,176.034,174.53,176.034,1.504
235,q13_235,success,176.037,177.253,176.037,177.253,1.216
236,q1_236,success,177.253,177.429,177.253,177.429,0.176
237,q6_237,success,177.43,178.396,177.43,178.396,0.966
238,q2_238,success,178.399,178.847,178.399,178.847,0.448
239,q1_239,success,178.848,179.039,178.848,179.039,0.191
240,q1_240,success,179.04,179.19,179.04,179.19,0.15
241,q1_241,success,179.191,179.313,179.191,179.313,0.122
242,q6_242,success,179.314,179.428,179.314,179.428,0.114
243,q11_243,success,179.429,179.664,179.429,179.664,0.235
244,q6_244,success,179.667,180.768,179.667,180.768,1.101
245,q1_245,success,180.771,180.987,180.771,180.987,0.216
246,q1_246,success,180.989,182.496,180.989,182.496,1.507
247,q1_247,success,182.5,183.903,182.5,183.903,1.403
248,q1_248,success,183.906,185.425,183.906,185.425,1.519
249,q6_249,success,185.429,185.612,185.429,185.612,0.183
250,q1_250,success,185.613,187.052,185.613,187.052,1.439
251,q6_251,success,187.055,187.334,187.055,187.334,0.279
252,q6_252,success,187.335,187.448,187.335,187.448,0.113
253,q1_253,success,187.449,188.936,187.449,188.936,1.487
254,q1_254,success,188.938,189.211,188.938,189.211,0.273
255,q6_255,success,189.213,189.413,189.213,189.413,0.2
256,q6_256,success,189.414,189.572,189.414,189.572,0.158
257,q1_257,success,189.573,191.093,189.573,191.093,1.52
258,q6_258,success,191.096,191.268,191.096,191.268,0.172
259,q10_259,success,191.27,192.87,191.27,192.87,1.6
260,q19_260,success,192.872,194.843,192.872,194.843,1.971
261,q6_261,success,194.848,195.008,194.848,195.008,0.16
262,q1_262,success,195.009,195.167,195.009,195.167,0.158
263,q1_263,success,195.168,196.667,195.168,196.667,1.499
264,q12_264,success,196.671,197.1,196.671,197.1,0.429
265,q1_265,success,197.102,198.687,197.102,198.687,1.585
266,q1_266,success,198.708,200.234,198.708,200.234,1.526
267,q1_267,success,200.237,201.742,200.237,201.742,1.505
268,q1_268,success,201.745,203.267,201.745,203.267,1.522
269,q2_269,success,203.271,204.838,203.271,204.838,1.567
270,q1_270,success,204.841,206.361,204.841,206.361,1.52
271,q1_271,success,206.364,208.082,206.364,208.082,1.718
272,q1_272,success,208.093,209.605,208.093,209.605,1.512
273,q1_273,success,209.607,209.904,209.607,209.904,0.297
274,q14_274,success,209.905,210.039,209.905,210.039,0.134
275,q1_275,success,210.04,210.275,210.04,210.275,0.235
276,q6_276,success,210.276,210.412,210.276,210.412,0.136
277,q6_277,success,210.412,210.489,210.412,210.489,0.077
278,q1_278,success,210.49,210.782,210.49,210.782,0.292
279,q6_279,success,210.784,211.741,210.784,211.741,0.957
280,q1_280,success,211.745,213.248,211.745,213.248,1.503
281,q1_281,success,213.251,214.669,213.251,214.669,1.418
282,q17_282,success,214.672,215.017,214.672,215.017,0.345
283,q1_283,success,215.018,216.497,215.018,216.497,1.479
284,q3_284,success,216.501,220.44,216.501,220.44,3.939
285,q4_285,success,220.445,220.667,220.445,220.667,0.222
286,q11_286,success,220.668,220.826,220.668,220.826,0.158
287,q6_287,success,220.827,221.059,220.827,221.059,0.232
288,q6_288,success,221.062,222.804,221.062,222.804,1.742
289,q1_289,success,222.809,223.072,222.809,223.072,0.263
290,q6_290,success,223.073,223.373,223.073,223.373,0.3
291,q1_291,success,223.374,224.783,223.374,224.783,1.409
292,q1_292,success,224.787,226.356,224.787,226.356,1.569
293,q1_293,success,226.359,226.54,226.359,226.54,0.181
294,q1_294,success,226.542,226.768,226.542,226.768,0.226
295,q1_295,success,226.769,228.179,226.769,228.179,1.41
296,q1_296,success,228.184,228.385,228.184,228.385,0.201
297,q1_297,success,228.385,228.521,228.385,228.521,0.136
298,q6_298,success,228.522,228.617,228.522,228.617,0.095
299,q1_299,success,228.618,230.03,228.618,230.03,1.412
300,q1_300,success,230.034,231.491,230.034,231.491,1.457
301,q6_301,success,231.495,232.476,231.495,232.476,0.981
302,q1_302,success,232.487,233.991,232.487,233.991,1.504
303,q1_303,success,233.994,235.422,233.994,235.422,1.428
304,q1_304,success,235.425,236.876,235.425,236.876,1.451
305,q1_305,success,236.879,238.359,236.879,238.359,1.48
306,q8_306,success,238.363,245.404,238.363,245.404,7.041
307,q1_307,success,245.409,245.616,245.409,245.616,0.207
308,q6_308,error,245.618,245.893,245.618,245.893,0.275
309,q1_309,success,245.895,249.086,245.895,249.086,3.191
310,q1_310,success,249.091,250.602,249.091,250.602,1.511
311,q1_311,success,250.605,252.033,250.605,252.033,1.428
312,q6_312,success,252.037,253.029,252.037,253.029,0.992
313,q6_313,success,253.032,253.989,253.032,253.989,0.957
314,q6_314,success,253.992,254.197,253.992,254.197,0.205
315,q14_315,success,254.198,254.373,254.198,254.373,0.175
