seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
0,q12_0,success,0.000,2.459,0.000,2.459,2.459
1,q6_1,success,30.830,31.056,30.830,31.056,0.226
2,q12_2,success,37.351,39.173,37.351,39.173,1.822
3,q12_3,success,97.351,99.215,97.351,99.215,1.864
4,q12_4,success,157.351,159.237,157.351,159.237,1.886
5,q6_5,success,236.661,237.551,236.661,237.551,0.890
6,q12_6,success,277.351,279.122,277.351,279.122,1.771
7,q12_7,success,337.351,339.181,337.351,339.181,1.830
8,q6_8,success,428.975,429.094,428.975,429.094,0.119
9,q12_9,success,457.351,459.291,457.351,459.291,1.940
10,q12_10,success,517.351,519.207,517.351,519.207,1.856
11,q12_11,success,577.351,579.297,577.351,579.297,1.946
12,q12_12,success,637.351,639.243,637.351,639.243,1.892
13,q1_13,success,755.517,755.895,755.517,755.895,0.378
14,q6_14,success,760.461,760.670,760.461,760.670,0.209
15,q22_15,success,762.287,762.535,762.287,762.535,0.248
16,q6_16,success,767.910,768.026,767.910,768.026,0.116
17,q22_17,success,769.370,769.603,769.370,769.603,0.233
18,q1_18,success,771.103,771.247,771.103,771.247,0.144
19,q13_19,success,771.460,771.997,771.460,771.997,0.537
20,q6_20,success,772.434,773.311,772.434,773.311,0.877
21,q6_21,success,772.898,773.205,772.898,773.205,0.307
22,q6_22,success,774.033,774.186,774.033,774.186,0.153
23,q10_23,success,775.229,779.741,775.229,779.741,4.512
24,q17_24,success,775.565,783.983,775.565,783.983,8.418
25,q6_25,success,776.362,779.694,776.362,779.694,3.332
26,q6_26,success,777.102,779.755,777.102,779.755,2.653
27,q6_27,success,777.986,779.685,777.986,779.685,1.699
28,q1_28,success,778.784,780.019,778.784,780.019,1.235
29,q6_29,success,779.682,780.078,779.682,780.078,0.396
30,q1_30,success,781.079,783.751,781.079,783.751,2.672
31,q6_31,success,781.743,784.001,781.743,784.001,2.258
32,q10_32,success,783.099,784.649,783.099,784.649,1.550
33,q18_33,success,784.633,784.886,784.633,784.886,0.253
34,q1_34,success,786.298,787.700,786.298,787.700,1.402
35,q4_35,success,788.174,788.355,788.174,788.355,0.181
36,q19_36,success,789.295,789.592,789.295,789.592,0.297
37,q1_37,success,790.676,790.870,790.676,790.870,0.194
38,q11_38,success,792.266,793.568,792.266,793.568,1.302
39,q6_39,success,796.396,797.318,796.396,797.318,0.922
40,q21_40,success,801.850,802.727,801.850,802.727,0.877
41,q6_41,success,803.343,803.561,803.343,803.561,0.218
