seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
0,q12,success,0.000,1.767,0.000,1.767,1.767
1,q6,success,30.830,31.045,30.830,31.045,0.215
2,q12,success,37.351,39.169,37.351,39.169,1.818
3,q12,success,97.351,99.114,97.351,99.114,1.763
4,q12,success,157.351,159.191,157.351,159.191,1.840
5,q6,success,236.661,237.557,236.661,237.557,0.896
6,q12,success,277.351,279.188,277.351,279.188,1.837
7,q12,success,337.351,339.051,337.351,339.051,1.700
8,q6,success,428.975,429.099,428.975,429.099,0.124
9,q12,success,457.351,459.048,457.351,459.048,1.697
10,q12,success,517.351,518.996,517.351,518.996,1.645
11,q12,success,577.351,579.190,577.351,579.190,1.839
12,q12,success,637.351,639.063,637.351,639.063,1.712
13,q1,success,755.517,755.998,755.517,755.998,0.481
14,q6,success,760.461,760.599,760.461,760.599,0.138
15,q22,success,762.287,762.604,762.287,762.604,0.317
16,q6,success,767.910,768.027,767.910,768.027,0.117
17,q22,success,769.370,769.633,769.370,769.633,0.263
18,q1,success,771.103,771.256,771.103,771.256,0.153
19,q13,success,771.460,771.969,771.460,771.969,0.509
20,q6,success,772.434,773.358,772.434,773.358,0.924
21,q6,success,772.898,773.203,772.898,773.203,0.305
22,q6,success,774.033,774.236,774.033,774.236,0.203
23,q10,success,775.229,779.716,775.229,779.716,4.487
24,q17,success,775.565,783.838,775.565,783.838,8.273
25,q6,success,776.362,779.399,776.362,779.399,3.037
26,q6,success,777.102,779.597,777.102,779.597,2.495
27,q6,success,777.986,779.558,777.986,779.558,1.572
28,q1,success,778.784,779.805,778.784,779.805,1.021
29,q6,success,779.682,779.941,779.682,779.941,0.259
30,q1,success,781.079,783.427,781.079,783.427,2.348
31,q6,success,781.743,783.890,781.743,783.890,2.147
32,q10,success,783.099,784.657,783.099,784.657,1.558
33,q18,success,784.633,784.948,784.633,784.948,0.315
34,q1,success,786.298,787.701,786.298,787.701,1.403
35,q4,success,788.174,788.363,788.174,788.363,0.189
36,q19,success,789.295,789.591,789.295,789.591,0.296
37,q1,success,790.676,790.815,790.676,790.815,0.139
38,q11,success,792.266,793.575,792.266,793.575,1.309
39,q6,success,796.396,797.309,796.396,797.309,0.913
40,q21,success,801.850,802.689,801.850,802.689,0.839
41,q6,success,803.343,803.574,803.343,803.574,0.231
42,q1,success,804.905,805.139,804.905,805.139,0.234
43,q13,success,806.714,807.871,806.714,807.871,1.157
44,q13,success,808.451,809.032,808.451,809.032,0.581
45,q6,success,810.493,810.676,810.493,810.676,0.183
46,q6,success,812.709,813.591,812.709,813.591,0.882
47,q6,success,814.708,814.798,814.708,814.798,0.090
48,q14,success,815.798,817.641,815.798,817.641,1.843
49,q1,success,817.059,819.512,817.059,819.512,2.453
50,q1,success,818.393,819.951,818.393,819.951,1.558
51,q1,success,820.213,820.440,820.213,820.440,0.227
52,q6,success,821.405,821.491,821.405,821.491,0.086
53,q12,success,822.668,822.840,822.668,822.840,0.172
54,q1,success,823.232,823.458,823.232,823.458,0.226
55,q16,success,825.963,827.344,825.963,827.344,1.381
56,q14,success,827.008,827.357,827.008,827.357,0.349
57,q6,success,827.951,828.836,827.951,828.836,0.885
58,q1,success,828.559,828.731,828.559,828.731,0.172
59,q1,success,828.865,829.497,828.865,829.497,0.632
60,q1,success,829.100,830.722,829.100,830.722,1.622
61,q6,success,829.447,831.018,829.447,831.018,1.571
62,q6,success,830.959,831.212,830.959,831.212,0.253
63,q1,success,831.090,831.226,831.090,831.226,0.136
64,q6,success,831.760,831.919,831.760,831.919,0.159
65,q4,success,832.312,832.636,832.312,832.636,0.324
66,q6,success,832.486,832.628,832.486,832.628,0.142
67,q6,success,833.011,833.201,833.011,833.201,0.190
68,q6,success,833.358,833.468,833.358,833.468,0.110
69,q6,success,833.910,833.998,833.910,833.998,0.088
70,q6,success,834.539,834.635,834.539,834.635,0.096
71,q6,success,835.039,835.187,835.039,835.187,0.148
72,q6,success,835.762,835.845,835.762,835.845,0.083
73,q6,success,836.104,837.019,836.104,837.019,0.915
74,q6,success,836.402,836.740,836.402,836.740,0.338
75,q1,success,836.946,839.174,836.946,839.174,2.228
76,q6,success,837.171,838.579,837.171,838.579,1.408
77,q6,success,837.694,839.186,837.694,839.186,1.492
78,q6,success,838.306,839.612,838.306,839.612,1.306
79,q1,success,838.672,839.404,838.672,839.404,0.732
80,q1,success,838.982,839.418,838.982,839.418,0.436
81,q1,success,839.204,839.536,839.204,839.536,0.332
82,q6,success,839.435,839.576,839.435,839.576,0.141
83,q6,success,839.833,839.921,839.833,839.921,0.088
84,q1,success,840.498,840.746,840.498,840.746,0.248
85,q1,success,840.918,841.058,840.918,841.058,0.140
86,q6,success,841.550,841.622,841.550,841.622,0.072
87,q19,success,841.785,843.720,841.785,843.720,1.935
88,q6,success,842.144,842.857,842.144,842.857,0.713
89,q1,success,842.479,842.906,842.479,842.906,0.427
90,q1,success,843.101,843.553,843.101,843.553,0.452
91,q6,success,843.515,843.712,843.515,843.712,0.197
92,q6,success,843.932,844.105,843.932,844.105,0.173
93,q6,success,844.121,844.273,844.121,844.273,0.152
94,q6,success,844.403,844.566,844.403,844.566,0.163
95,q6,success,844.577,845.795,844.577,845.795,1.218
96,q2,success,845.064,846.490,845.064,846.490,1.426
97,q6,success,845.249,845.520,845.249,845.520,0.271
98,q6,success,845.714,847.044,845.714,847.044,1.330
99,q6,success,846.355,846.589,846.355,846.589,0.234
100,q1,success,846.650,848.081,846.650,848.081,1.431
101,q6,success,847.455,847.708,847.455,847.708,0.253
102,q6,success,848.187,848.297,848.187,848.297,0.110
103,q1,success,848.465,849.903,848.465,849.903,1.438
104,q4,success,849.325,849.885,849.325,849.885,0.560
105,q6,success,850.072,850.218,850.072,850.218,0.146
106,q6,success,850.649,851.558,850.649,851.558,0.909
107,q1,success,851.506,851.804,851.506,851.804,0.298
108,q6,success,852.695,852.781,852.695,852.781,0.086
109,q1,success,853.304,853.543,853.304,853.543,0.239
110,q6,success,853.426,853.644,853.426,853.644,0.218
111,q6,success,854.366,854.467,854.366,854.467,0.101
112,q6,success,854.843,854.949,854.843,854.949,0.106
113,q6,success,855.314,855.468,855.314,855.468,0.154
114,q1,success,855.641,857.842,855.641,857.842,2.201
115,q1,success,855.978,858.103,855.978,858.103,2.125
116,q1,success,857.000,858.023,857.000,858.023,1.023
117,q6,success,857.524,857.979,857.524,857.979,0.455
118,q6,success,857.638,858.017,857.638,858.017,0.379
119,q6,success,858.584,858.709,858.584,858.709,0.125
120,q1,success,859.016,861.304,859.016,861.304,2.288
121,q6,success,859.395,860.126,859.395,860.126,0.731
122,q6,success,859.698,860.121,859.698,860.121,0.423
123,q1,success,860.130,861.614,860.130,861.614,1.484
124,q1,success,860.547,861.527,860.547,861.527,0.980
125,q6,success,860.987,861.453,860.987,861.453,0.466
126,q1,success,861.691,861.895,861.691,861.895,0.204
127,q1,success,862.282,864.535,862.282,864.535,2.253
128,q1,success,862.532,863.920,862.532,863.920,1.388
129,q1,success,862.873,864.325,862.873,864.325,1.452
130,q18,success,863.569,871.110,863.569,871.110,7.541
131,q1,success,863.901,866.670,863.901,866.670,2.769
132,q18,success,864.646,869.708,864.646,869.708,5.062
133,q4,success,865.376,871.056,865.376,871.056,5.680
134,q1,success,865.977,870.538,865.977,870.538,4.561
135,q6,success,867.349,869.485,867.349,869.485,2.136
136,q6,success,868.614,870.976,868.614,870.976,2.362
137,q18,success,870.682,871.121,870.682,871.121,0.439
138,q1,success,872.126,872.330,872.126,872.330,0.204
139,q1,success,873.660,876.409,873.660,876.409,2.749
140,q1,error,874.093,874.093,874.093,874.093,0.000
141,q6,error,874.391,874.391,874.391,874.391,0.000
142,q6,success,874.722,877.045,874.722,877.045,2.323
143,q6,success,875.405,878.231,875.405,878.231,2.826
144,q1,success,875.919,879.158,875.919,879.158,3.239
145,q1,success,876.379,879.546,876.379,879.546,3.167
146,q1,success,877.229,879.300,877.229,879.300,2.071
147,q6,success,877.708,879.313,877.708,879.313,1.605
148,q1,success,877.963,879.434,877.963,879.434,1.471
149,q6,success,878.515,879.383,878.515,879.383,0.868
150,q18,success,879.060,881.392,879.060,881.392,2.332
151,q6,success,879.902,881.362,879.902,881.362,1.460
152,q6,success,880.232,881.957,880.232,881.957,1.725
153,q6,success,880.555,881.753,880.555,881.753,1.198
154,q1,success,880.807,883.490,880.807,883.490,2.683
155,q1,success,881.014,884.637,881.014,884.637,3.623
