seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
0,3439295,completed,1783545705.369,1783545708.820,0.000,3.451,3.451
1,3798141,completed,1783545708.820,1783545710.223,3.451,4.854,1.403
2,990000100,completed,1783545710.224,1783545713.516,4.855,8.147,3.292
3,990000200,completed,1783545713.518,1783545716.848,8.149,11.479,3.330
4,990000300,completed,1783545716.848,1783545720.129,11.479,14.760,3.281
5,3482627,completed,1783545720.131,1783545722.532,14.762,17.163,2.401
6,990000500,completed,1783545722.533,1783545725.977,17.164,20.608,3.444
7,990000600,completed,1783545725.979,1783545729.368,20.610,23.999,3.389
8,4022951,completed,1783545729.369,1783545730.807,24.000,25.438,1.438
9,990000800,completed,1783545730.807,1783545734.287,25.438,28.918,3.480
10,990000900,completed,1783545734.289,1783545737.706,28.920,32.337,3.417
11,990001000,completed,1783545737.707,1783545741.026,32.338,35.657,3.319
12,990001100,completed,1783545741.029,1783545744.623,35.660,39.254,3.594
13,2989261,completed,1783545744.623,1783545745.822,39.254,40.453,1.199
14,2793569,completed,1783545745.823,1783545747.289,40.454,41.920,1.466
15,4236847,completed,1783545747.291,1783545748.758,41.922,43.389,1.467
16,2924859,completed,1783545748.758,1783545750.246,43.389,44.877,1.488
17,3754217,completed,1783545750.247,1783545751.452,44.878,46.083,1.205
18,2790180,completed,1783545751.452,1783545752.589,46.083,47.220,1.137
19,2825157,completed,1783545752.592,1783545753.582,47.223,48.213,0.990
20,2923392,completed,1783545753.583,1783545755.972,48.214,50.603,2.389
21,3525612,completed,1783545755.972,1783545757.361,50.603,51.992,1.389
22,3797153,completed,1783545757.361,1783545758.679,51.992,53.310,1.318
23,3272805,completed,1783545758.682,1783545760.676,53.312,55.306,1.994
24,3332697,completed,1783545760.676,1783545767.017,55.307,61.648,6.341
25,3129455,completed,1783545767.020,1783545768.474,61.651,63.105,1.454
26,4133542,completed,1783545768.474,1783545769.871,63.105,64.502,1.397
27,4500831,completed,1783545769.872,1783545771.350,64.503,65.981,1.478
28,3636159,completed,1783545771.350,1783545772.510,65.981,67.141,1.160
29,2896254,completed,1783545772.512,1783545773.918,67.143,68.549,1.406
30,3775628,completed,1783545773.918,1783545775.877,68.549,70.508,1.959
