seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
0,3439295,completed,1785301285.401,1785301296.437,0.000,11.036,11.036
1,3798141,completed,1785301316.231,1785301318.229,30.830,32.828,1.998
2,990000100,completed,1785301322.751,1785301327.214,37.350,41.813,4.463
3,990000200,completed,1785301382.751,1785301386.794,97.349,101.392,4.043
4,990000300,completed,1785301442.751,1785301447.711,157.349,162.309,4.960
5,3482627,completed,1785301522.061,1785301524.916,236.660,239.515,2.855
6,990000500,completed,1785301562.751,1785301566.738,277.350,281.337,3.987
7,990000600,completed,1785301622.751,1785301626.989,337.350,341.588,4.238
8,4022951,completed,1785301714.376,1785301716.159,428.975,430.758,1.783
9,990000800,completed,1785301742.751,1785301747.046,457.350,461.645,4.295
10,990000900,completed,1785301802.751,1785301806.725,517.349,521.323,3.974
11,990001000,completed,1785301862.751,1785301866.950,577.350,581.549,4.199
12,990001100,completed,1785301922.751,1785301927.144,637.350,641.743,4.393
13,2989261,completed,1785302040.918,1785302042.459,755.516,757.057,1.541
14,2793569,completed,1785302045.862,1785302047.319,760.461,761.918,1.457
15,4236847,completed,1785302047.689,1785302049.795,762.288,764.394,2.106
16,2924859,completed,1785302053.311,1785302055.008,767.909,769.606,1.697
17,3754217,completed,1785302054.771,1785302056.138,769.370,770.737,1.367
18,2790180,completed,1785302056.505,1785302057.821,771.103,772.419,1.316
19,2825157,completed,1785302056.861,1785302058.225,771.460,772.824,1.364
20,2923392,completed,1785302057.834,1785302060.700,772.433,775.299,2.866
21,3525612,completed,1785302058.299,1785302059.753,772.898,774.352,1.454
22,3797153,completed,1785302059.435,1785302060.862,774.034,775.461,1.427
23,3272805,completed,1785302060.631,1785302064.988,775.230,779.587,4.357
24,3332697,completed,1785302060.965,1785302072.421,775.564,787.020,11.456
25,3129455,completed,1785302061.763,1785302064.004,776.362,778.603,2.241
26,4133542,completed,1785302062.504,1785302064.489,777.103,779.088,1.985
27,4500831,completed,1785302063.388,1785302065.368,777.987,779.967,1.980
28,3636159,completed,1785302064.184,1785302065.768,778.783,780.367,1.584
29,2896254,completed,1785302065.084,1785302066.693,779.682,781.291,1.609
30,3775628,completed,1785302066.481,1785302069.076,781.080,783.675,2.595
31,4260783,completed,1785302067.144,1785302070.603,781.742,785.201,3.459
32,3658722,completed,1785302068.501,1785302070.632,783.100,785.231,2.131
33,3546195,completed,1785302070.034,1785302071.412,784.632,786.010,1.378
34,3829550,completed,1785302071.700,1785302074.047,786.299,788.646,2.347
35,3672116,completed,1785302073.576,1785302075.048,788.175,789.647,1.472
36,3338841,completed,1785302074.696,1785302076.220,789.295,790.819,1.524
37,2934934,completed,1785302076.076,1785302077.347,790.675,791.946,1.271
38,3658723,completed,1785302077.667,1785302080.848,792.266,795.447,3.181
39,3003768,completed,1785302081.797,1785302084.360,796.396,798.959,2.563
40,4102620,completed,1785302087.251,1785302089.647,801.850,804.246,2.396
41,4442834,completed,1785302088.745,1785302090.196,803.344,804.795,1.451
42,2748679,completed,1785302090.305,1785302091.473,804.903,806.071,1.168
43,3933854,completed,1785302092.114,1785302093.529,806.713,808.128,1.415
44,3843227,completed,1785302093.852,1785302094.889,808.451,809.488,1.037
45,3042984,completed,1785302095.894,1785302097.307,810.493,811.906,1.413
46,4056357,completed,1785302098.110,1785302100.923,812.709,815.522,2.813
47,2923393,completed,1785302100.109,1785302101.629,814.708,816.228,1.520
48,3559722,completed,1785302101.199,1785302103.690,815.798,818.289,2.491
49,3323319,completed,1785302102.460,1785302105.133,817.059,819.732,2.673
50,2752374,completed,1785302103.794,1785302106.240,818.393,820.839,2.446
51,2937464,completed,1785302105.615,1785302106.794,820.214,821.393,1.179
52,4364849,completed,1785302106.806,1785302108.280,821.404,822.878,1.474
53,2828783,completed,1785302108.069,1785302109.604,822.667,824.202,1.535
54,3973086,completed,1785302108.634,1785302109.795,823.233,824.394,1.161
55,4195344,completed,1785302111.363,1785302114.690,825.962,829.289,3.327
56,2860050,completed,1785302112.410,1785302113.730,827.009,828.329,1.320
57,4500832,completed,1785302113.351,1785302117.261,827.950,831.860,3.910
58,4382141,completed,1785302113.960,1785302116.817,828.559,831.416,2.857
59,2724903,completed,1785302114.265,1785302116.815,828.864,831.414,2.550
60,3490825,completed,1785302114.502,1785302117.808,829.101,832.407,3.306
61,3818502,completed,1785302114.848,1785302118.572,829.447,833.171,3.724
62,4488999,completed,1785302116.360,1785302117.877,830.959,832.476,1.517
63,3995867,completed,1785302116.492,1785302117.851,831.091,832.450,1.359
64,3651833,completed,1785302117.161,1785302118.731,831.760,833.330,1.570
65,3153180,completed,1785302117.714,1785302119.203,832.313,833.802,1.489
66,4493222,completed,1785302117.887,1785302119.339,832.486,833.938,1.452
67,3733625,completed,1785302118.412,1785302119.799,833.011,834.398,1.387
68,3796592,completed,1785302118.759,1785302120.220,833.358,834.819,1.461
69,4051619,completed,1785302119.311,1785302120.830,833.910,835.429,1.519
70,2721630,completed,1785302119.940,1785302121.428,834.539,836.027,1.488
71,2899168,completed,1785302120.441,1785302122.054,835.040,836.653,1.613
72,3559774,completed,1785302121.163,1785302123.616,835.762,838.215,2.453
73,2751364,completed,1785302121.506,1785302127.107,836.105,841.706,5.601
74,4316097,completed,1785302121.802,1785302123.692,836.401,838.291,1.890
75,3236630,completed,1785302122.347,1785302126.856,836.946,841.455,4.509
76,3639309,completed,1785302122.572,1785302125.263,837.170,839.861,2.691
77,3025166,completed,1785302123.094,1785302127.223,837.693,841.822,4.129
78,3191757,completed,1785302123.708,1785302127.701,838.307,842.300,3.993
79,3228769,completed,1785302124.073,1785302126.252,838.671,840.850,2.179
80,3267492,completed,1785302124.383,1785302126.524,838.982,841.123,2.141
81,3666109,completed,1785302124.606,1785302126.465,839.205,841.064,1.859
82,3962929,completed,1785302124.836,1785302126.793,839.435,841.392,1.957
83,3549371,completed,1785302125.234,1785302126.960,839.833,841.559,1.726
84,4159565,completed,1785302125.899,1785302127.263,840.497,841.861,1.364
85,2974092,completed,1785302126.318,1785302127.610,840.917,842.209,1.292
86,3563133,completed,1785302126.950,1785302128.555,841.548,843.153,1.605
87,3004278,completed,1785302127.186,1785302130.174,841.784,844.772,2.988
88,3339020,completed,1785302127.546,1785302129.051,842.145,843.650,1.505
89,3459431,completed,1785302127.879,1785302129.070,842.478,843.669,1.191
90,3331105,completed,1785302128.503,1785302129.845,843.102,844.444,1.342
91,3729978,completed,1785302128.916,1785302130.547,843.515,845.146,1.631
92,3082034,completed,1785302129.333,1785302130.799,843.932,845.398,1.466
93,3184093,completed,1785302129.523,1785302131.413,844.122,846.012,1.890
94,3563163,completed,1785302129.804,1785302131.497,844.403,846.096,1.693
95,4042189,completed,1785302129.978,1785302133.759,844.577,848.358,3.781
96,3071532,completed,1785302130.466,1785302133.820,845.065,848.419,3.354
97,3430448,completed,1785302130.650,1785302132.964,845.249,847.563,2.314
98,2956566,completed,1785302131.116,1785302133.935,845.715,848.534,2.819
99,2833582,completed,1785302131.756,1785302133.430,846.354,848.028,1.674
100,3973398,completed,1785302132.051,1785302134.905,846.649,849.503,2.854
101,4481926,completed,1785302132.856,1785302134.438,847.455,849.037,1.582
102,3887267,completed,1785302133.588,1785302135.326,848.187,849.925,1.738
103,3110910,completed,1785302133.866,1785302136.081,848.464,850.679,2.215
104,2872664,completed,1785302134.726,1785302136.099,849.325,850.698,1.373
105,3280081,completed,1785302135.473,1785302137.485,850.072,852.084,2.012
106,3878770,completed,1785302136.050,1785302138.570,850.648,853.168,2.520
107,4428482,completed,1785302136.906,1785302138.464,851.505,853.063,1.558
108,3593341,completed,1785302138.096,1785302139.745,852.694,854.343,1.649
109,3388603,completed,1785302138.706,1785302140.555,853.305,855.154,1.849
110,3071478,completed,1785302138.827,1785302141.155,853.426,855.754,2.328
111,2509610,completed,1785302139.767,1785302141.426,854.365,856.024,1.659
112,3126159,completed,1785302140.244,1785302142.199,854.843,856.798,1.955
113,4242517,completed,1785302140.716,1785302143.097,855.315,857.696,2.381
114,3704922,completed,1785302141.042,1785302143.748,855.641,858.347,2.706
