seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
0,3439295,completed,1783537358.250,1783537361.993,0.000,3.743,3.743
1,3798141,completed,1783537389.080,1783537390.456,30.830,32.206,1.376
2,990000100,completed,1783537395.600,1783537399.155,37.350,40.905,3.555
3,990000200,completed,1783537455.601,1783537459.372,97.350,101.121,3.771
4,990000300,completed,1783537515.600,1783537519.187,157.350,160.937,3.587
5,3482627,completed,1783537594.910,1783537597.442,236.660,239.192,2.532
6,990000500,completed,1783537635.601,1783537639.224,277.351,280.974,3.623
7,990000600,completed,1783537695.600,1783537699.452,337.350,341.202,3.852
8,4022951,completed,1783537787.224,1783537788.784,428.974,430.534,1.560
9,990000800,completed,1783537815.600,1783537819.287,457.350,461.037,3.687
10,990000900,completed,1783537875.600,1783537879.467,517.350,521.217,3.867
11,990001000,completed,1783537935.600,1783537939.224,577.350,580.974,3.624
12,990001100,completed,1783537995.601,1783537999.261,637.350,641.010,3.660
13,2989261,completed,1783538113.766,1783538115.040,755.516,756.790,1.274
14,2793569,completed,1783538118.711,1783538120.177,760.461,761.927,1.466
15,4236847,completed,1783538120.537,1783538121.956,762.287,763.706,1.419
16,2924859,completed,1783538126.161,1783538127.651,767.911,769.401,1.490
17,3754217,completed,1783538127.619,1783538128.800,769.369,770.550,1.181
18,2790180,completed,1783538129.355,1783538130.539,771.105,772.289,1.184
19,2825157,completed,1783538129.709,1783538130.786,771.459,772.536,1.077
20,2923392,completed,1783538130.684,1783538133.241,772.434,774.991,2.557
21,3525612,completed,1783538131.147,1783538132.603,772.897,774.353,1.456
22,3797153,completed,1783538132.283,1783538133.688,774.033,775.438,1.405
23,3272805,completed,1783538133.479,1783538137.314,775.229,779.064,3.835
24,3332697,completed,1783538133.814,1783538144.307,775.564,786.057,10.493
25,3129455,completed,1783538134.611,1783538136.852,776.361,778.602,2.241
26,4133542,completed,1783538135.352,1783538137.616,777.102,779.366,2.264
27,4500831,completed,1783538136.236,1783538138.306,777.986,780.056,2.070
28,3636159,completed,1783538137.034,1783538138.991,778.783,780.740,1.957
29,2896254,completed,1783538137.933,1783538139.529,779.682,781.278,1.596
30,3775628,completed,1783538139.331,1783538141.972,781.080,783.721,2.641
31,4260783,completed,1783538139.992,1783538143.411,781.742,785.161,3.419
32,3658722,completed,1783538141.350,1783538143.799,783.100,785.549,2.449
33,3546195,completed,1783538142.884,1783538144.026,784.634,785.776,1.142
34,3829550,completed,1783538144.550,1783538146.553,786.300,788.303,2.003
35,3672116,completed,1783538146.426,1783538147.877,788.176,789.627,1.451
36,3338841,completed,1783538147.546,1783538148.933,789.296,790.683,1.387
37,2934934,completed,1783538148.925,1783538150.069,790.675,791.819,1.144
38,3658723,completed,1783538150.516,1783538153.262,792.266,795.012,2.746
39,3003768,completed,1783538154.646,1783538157.180,796.396,798.930,2.534
40,4102620,completed,1783538160.099,1783538162.042,801.849,803.792,1.943
41,4442834,completed,1783538161.593,1783538163.052,803.343,804.802,1.459
42,2748679,completed,1783538163.154,1783538164.324,804.904,806.074,1.170
43,3933854,completed,1783538164.964,1783538175.215,806.713,816.964,10.251
44,3843227,completed,1783538166.700,1783538167.563,808.450,809.313,0.863
45,3042984,completed,1783538168.742,1783538170.150,810.492,811.900,1.408
46,4056357,completed,1783538170.959,1783538173.472,812.709,815.222,2.513
47,2923393,completed,1783538172.957,1783538174.479,814.707,816.229,1.522
48,3559722,completed,1783538174.047,1783538176.298,815.797,818.048,2.251
49,3323319,completed,1783538175.310,1783538178.201,817.059,819.950,2.891
50,2752374,completed,1783538176.643,1783538179.230,818.393,820.980,2.587
51,2937464,completed,1783538178.464,1783538179.691,820.214,821.441,1.227
52,4364849,completed,1783538179.655,1783538181.136,821.405,822.886,1.481
53,2828783,completed,1783538180.919,1783538182.490,822.669,824.240,1.571
54,3973086,completed,1783538181.483,1783538182.592,823.233,824.342,1.109
55,4195344,completed,1783538184.213,1783538186.849,825.962,828.598,2.636
56,2860050,completed,1783538185.259,1783538186.536,827.009,828.286,1.277
57,4500832,completed,1783538186.200,1783538190.205,827.950,831.955,4.005
58,4382141,completed,1783538186.814,1783538190.318,828.563,832.067,3.504
59,2724903,completed,1783538187.115,1783538190.317,828.865,832.067,3.202
60,3490825,completed,1783538187.352,1783538191.353,829.101,833.102,4.001
61,3818502,completed,1783538187.697,1783538191.770,829.447,833.520,4.073
62,4488999,completed,1783538189.209,1783538191.296,830.959,833.046,2.087
63,3995867,completed,1783538189.340,1783538191.219,831.090,832.969,1.879
64,3651833,completed,1783538190.011,1783538192.095,831.761,833.845,2.084
65,3153180,completed,1783538190.562,1783538192.071,832.312,833.821,1.509
66,4493222,completed,1783538190.736,1783538192.244,832.486,833.994,1.508
67,3733625,completed,1783538191.261,1783538192.603,833.011,834.353,1.342
68,3796592,completed,1783538191.608,1783538193.041,833.358,834.791,1.433
69,4051619,completed,1783538192.160,1783538193.620,833.910,835.370,1.460
70,2721630,completed,1783538192.789,1783538194.186,834.538,835.935,1.397
71,2899168,completed,1783538193.291,1783538194.900,835.040,836.649,1.609
72,3559774,completed,1783538194.011,1783538196.432,835.761,838.182,2.421
73,2751364,completed,1783538194.355,1783538200.097,836.105,841.847,5.742
74,4316097,completed,1783538194.651,1783538196.434,836.401,838.184,1.783
75,3236630,completed,1783538195.196,1783538199.993,836.946,841.743,4.797
76,3639309,completed,1783538195.422,1783538198.027,837.172,839.777,2.605
77,3025166,completed,1783538195.943,1783538200.187,837.693,841.937,4.244
78,3191757,completed,1783538196.556,1783538200.195,838.306,841.945,3.639
79,3228769,completed,1783538196.921,1783538198.902,838.671,840.652,1.981
80,3267492,completed,1783538197.232,1783538199.399,838.982,841.149,2.167
81,3666109,completed,1783538197.456,1783538199.401,839.205,841.150,1.945
82,3962929,completed,1783538197.685,1783538199.471,839.435,841.221,1.786
83,3549371,completed,1783538198.083,1783538199.808,839.833,841.558,1.725
84,4159565,completed,1783538198.748,1783538200.260,840.498,842.010,1.512
85,2974092,completed,1783538199.168,1783538201.038,840.918,842.788,1.870
86,3563133,completed,1783538199.800,1783538201.802,841.550,843.552,2.002
87,3004278,completed,1783538200.034,1783538213.836,841.784,855.586,13.802
88,3339020,completed,1783538200.395,1783538202.316,842.145,844.066,1.921
